nombre,mean,countNonZero,dft mean,
Valor absoluto Gradient Y,[4.2907, 0, 0, 0],1878,[2.67637, 0, 0, 0]
Sobel,[8.13585, 0, 0, 0],2146,[10.0779, 0, 0, 0]
Gradient Y,[0.375238, 0, 0, 0],1949,[-2.57662, 0, 0, 0]
Valor absoluto Gradient Y,[2.55571, 0, 0, 0],1668,[1.21744, 0, 0, 0]
Sobel,[3.82644, 0, 0, 0],2091,[3.65594, 0, 0, 0]
EyeROI,[79.6205, 0, 0, 0],2084,[98.5734, 0, 0, 0]
Gradient Y,[0.763333, 0, 0, 0],1991,[6.20821, 0, 0, 0]
Valor absoluto Gradient Y,[4.63571, 0, 0, 0],1819,[2.5987, 0, 0, 0]
Sobel,[10.0203, 0, 0, 0],2095,[16.7121, 0, 0, 0]
Gradient Y,[0.273488, 0, 0, 0],1979,[-1.20613, 0, 0, 0]
Valor absoluto Gradient Y,[2.49023, 0, 0, 0],1683,[1.265, 0, 0, 0]
Sobel,[3.75349, 0, 0, 0],2134,[2.55634, 0, 0, 0]
EyeROI,[79.8781, 0, 0, 0],2134,[99.2462, 0, 0, 0]
Gradient Y,[0.81186, 0, 0, 0],2068,[6.15408, 0, 0, 0]
Valor absoluto Gradient Y,[4.62326, 0, 0, 0],1892,[3.08346, 0, 0, 0]
Sobel,[10.124, 0, 0, 0],2143,[14.7512, 0, 0, 0]
Gradient Y,[0.252093, 0, 0, 0],1994,[-2.16596, 0, 0, 0]
Valor absoluto Gradient Y,[2.46977, 0, 0, 0],1688,[2.34387, 0, 0, 0]
Sobel,[3.7866, 0, 0, 0],2139,[3.60202, 0, 0, 0]
EyeROI,[80.0902, 0, 0, 0],2134,[98.5454, 0, 0, 0]
Gradient Y,[0.866744, 0, 0, 0],2053,[5.72665, 0, 0, 0]
Valor absoluto Gradient Y,[4.61953, 0, 0, 0],1891,[4.19155, 0, 0, 0]
Sobel,[10.1703, 0, 0, 0],2146,[15.9385, 0, 0, 0]
Gradient Y,[0.228333, 0, 0, 0],1937,[-1.062, 0, 0, 0]
Valor absoluto Gradient Y,[2.47952, 0, 0, 0],1622,[0.175493, 0, 0, 0]
Sobel,[3.80827, 0, 0, 0],2086,[1.18913, 0, 0, 0]
EyeROI,[80.8157, 0, 0, 0],2084,[97.8068, 0, 0, 0]
Gradient Y,[0.933095, 0, 0, 0],2012,[4.29712, 0, 0, 0]
Valor absoluto Gradient Y,[4.68857, 0, 0, 0],1854,[3.68814, 0, 0, 0]
Sobel,[10.1656, 0, 0, 0],2097,[16.774, 0, 0, 0]
Gradient Y,[0.215238, 0, 0, 0],1932,[-1.86339, 0, 0, 0]
Valor absoluto Gradient Y,[2.37048, 0, 0, 0],1633,[-0.0760755, 0, 0, 0]
Sobel,[3.64327, 0, 0, 0],2091,[2.15462, 0, 0, 0]
EyeROI,[80.9267, 0, 0, 0],2084,[100.989, 0, 0, 0]
Gradient Y,[0.677143, 0, 0, 0],2015,[6.41665, 0, 0, 0]
Valor absoluto Gradient Y,[4.69238, 0, 0, 0],1875,[1.73481, 0, 0, 0]
Sobel,[9.55198, 0, 0, 0],2097,[14.4307, 0, 0, 0]
Gradient Y,[0.299762, 0, 0, 0],1931,[-1.78491, 0, 0, 0]
Valor absoluto Gradient Y,[2.17857, 0, 0, 0],1617,[1.87349, 0, 0, 0]
Sobel,[3.35951, 0, 0, 0],2085,[2.76668, 0, 0, 0]
EyeROI,[82.241, 0, 0, 0],2084,[104.898, 0, 0, 0]
Gradient Y,[0.505714, 0, 0, 0],2014,[2.95033, 0, 0, 0]
Valor absoluto Gradient Y,[4.49095, 0, 0, 0],1846,[4.32942, 0, 0, 0]
Sobel,[9.08481, 0, 0, 0],2098,[13.205, 0, 0, 0]
Gradient Y,[0.423095, 0, 0, 0],1922,[-0.328447, 0, 0, 0]
Valor absoluto Gradient Y,[2.85, 0, 0, 0],1636,[1.98198, 0, 0, 0]
Sobel,[3.86944, 0, 0, 0],2074,[2.36464, 0, 0, 0]
EyeROI,[80.3233, 0, 0, 0],2084,[108.889, 0, 0, 0]
Gradient Y,[0.140238, 0, 0, 0],2002,[6.60721, 0, 0, 0]
Valor absoluto Gradient Y,[4.46143, 0, 0, 0],1824,[6.24427, 0, 0, 0]
Sobel,[8.31666, 0, 0, 0],2095,[16.5244, 0, 0, 0]
Gradient Y,[0.49, 0, 0, 0],1926,[-1.97, 0, 0, 0]
Valor absoluto Gradient Y,[2.77524, 0, 0, 0],1638,[1.936, 0, 0, 0]
Sobel,[3.82141, 0, 0, 0],2081,[3.41004, 0, 0, 0]
EyeROI,[80.35, 0, 0, 0],2084,[107.459, 0, 0, 0]
Gradient Y,[0.411429, 0, 0, 0],2000,[6.97464, 0, 0, 0]
Valor absoluto Gradient Y,[4.46667, 0, 0, 0],1810,[3.91948, 0, 0, 0]
Sobel,[8.85445, 0, 0, 0],2092,[17.4825, 0, 0, 0]
Gradient Y,[0.372857, 0, 0, 0],1934,[-0.611378, 0, 0, 0]
Valor absoluto Gradient Y,[2.86952, 0, 0, 0],1663,[2.74371, 0, 0, 0]
Sobel,[3.89688, 0, 0, 0],2085,[3.29025, 0, 0, 0]
EyeROI,[80.6019, 0, 0, 0],2084,[109.765, 0, 0, 0]
Gradient Y,[0.405952, 0, 0, 0],2016,[4.8853, 0, 0, 0]
Valor absoluto Gradient Y,[4.80333, 0, 0, 0],1845,[3.82865, 0, 0, 0]
Sobel,[9.36206, 0, 0, 0],2096,[11.144, 0, 0, 0]
Gradient Y,[0.357619, 0, 0, 0],1930,[0.229228, 0, 0, 0]
Valor absoluto Gradient Y,[2.7881, 0, 0, 0],1656,[2.59142, 0, 0, 0]
Sobel,[3.80193, 0, 0, 0],2089,[3.99974, 0, 0, 0]
EyeROI,[79.6795, 0, 0, 0],2084,[108.516, 0, 0, 0]
Gradient Y,[0.374524, 0, 0, 0],2018,[3.19242, 0, 0, 0]
Valor absoluto Gradient Y,[4.68667, 0, 0, 0],1842,[4.83003, 0, 0, 0]
Sobel,[9.09779, 0, 0, 0],2095,[11.2522, 0, 0, 0]
Gradient Y,[0.307442, 0, 0, 0],1991,[-2.41423, 0, 0, 0]
Valor absoluto Gradient Y,[2.74047, 0, 0, 0],1688,[2.38707, 0, 0, 0]
Sobel,[3.76458, 0, 0, 0],2133,[4.39836, 0, 0, 0]
EyeROI,[79.6553, 0, 0, 0],2134,[108.029, 0, 0, 0]
Gradient Y,[0.485814, 0, 0, 0],2047,[3.18652, 0, 0, 0]
Valor absoluto Gradient Y,[4.6107, 0, 0, 0],1869,[5.31969, 0, 0, 0]
Sobel,[9.56829, 0, 0, 0],2146,[16.584, 0, 0, 0]
Gradient Y,[0.410238, 0, 0, 0],1903,[-0.845703, 0, 0, 0]
Valor absoluto Gradient Y,[2.56667, 0, 0, 0],1603,[1.94744, 0, 0, 0]
Sobel,[3.63444, 0, 0, 0],2079,[2.83429, 0, 0, 0]
EyeROI,[80.7843, 0, 0, 0],2084,[107.421, 0, 0, 0]
Gradient Y,[0.60881, 0, 0, 0],2019,[5.59034, 0, 0, 0]
Valor absoluto Gradient Y,[4.68524, 0, 0, 0],1869,[2.63316, 0, 0, 0]
Sobel,[9.65085, 0, 0, 0],2096,[13.6922, 0, 0, 0]
Gradient Y,[0.43, 0, 0, 0],1973,[-1.94697, 0, 0, 0]
Valor absoluto Gradient Y,[2.73395, 0, 0, 0],1678,[2.16824, 0, 0, 0]
Sobel,[3.72328, 0, 0, 0],2136,[3.5679, 0, 0, 0]
EyeROI,[79.8805, 0, 0, 0],2139,[104.282, 0, 0, 0]
Gradient Y,[0.263023, 0, 0, 0],2042,[7.91911, 0, 0, 0]
Valor absoluto Gradient Y,[4.54419, 0, 0, 0],1847,[5.86275, 0, 0, 0]
Sobel,[8.75995, 0, 0, 0],2142,[18.0526, 0, 0, 0]
Gradient Y,[0.422381, 0, 0, 0],1930,[-1.98459, 0, 0, 0]
Valor absoluto Gradient Y,[2.74524, 0, 0, 0],1642,[2.23693, 0, 0, 0]
Sobel,[3.74692, 0, 0, 0],2079,[4.10786, 0, 0, 0]
EyeROI,[79.7219, 0, 0, 0],2085,[107.581, 0, 0, 0]
Gradient Y,[0.303333, 0, 0, 0],1998,[4.00176, 0, 0, 0]
Valor absoluto Gradient Y,[4.74238, 0, 0, 0],1848,[4.63748, 0, 0, 0]
